Montserrat-Regular,OpenSans-Regular
Helvetica-LT-65-Medium,Bodoni-BT
OpenSans-Regular,EBGaramond-Regular
CenturyGothic,Avenir-LT-65-Medium
BreeSerif-Regular,OpenSans-Regular
Montserrat-Regular,Domine-Regular
Amaranth-Regular,TitilliumWeb-Regular
LibreBaskerville-Regular,Montserrat-Regular
Quattrocento-Regular,QuattrocentoSans-Regular
Nunito-Regular,OpenSans-Regular
CroissantOne-Regular,SourceSansPro-Regular
Oswald-Regular,Merriweather-Regular
LobsterTwo-Regular,DroidSerif
Isabella,BodoniXT
AllegrettoScriptOne,Raleway-Regular
Amelia-Normal,TheanoDidot-Regular
Oswald-Regular,Lato-Regular
LibreFranklin-Regular,LibreBaskerville-Regular
kaufmann-bt,Neutra-Text-Book
JosefinSlab-Regular,PatrickHand-Regular
Helvetica-Neue-CE-55-Roman,EBGaramond-Regular
Caslon-Medium,MyriadPro-Regular
Fontin-Regular,Fontin_Sans_R_45b
MyriadPro-Black,MinionPro-Regular
Souvenir-Demi-BT,Futura-LT-Bold
Dax-Bold,Caslon-Medium
Roboto-Regular,Montserrat-Regular
AntiqueOliveBold,ChaparralPro-Regular
RenaultBQ-Light,apexnewbookwebfont
Rubik-Regular,Karla-Regular
Halant-Regular,NunitoSans-Regular
Lora-Regular,Roboto-Regular
Chivo-Regular,Overpass-Regular
WorkSans-Regular,Bitter-Regular
FjallaOne-Regular,Average-Regular
BioRhyme-Regular,Cabin-Medium
CantataOne-Regular,Imprima-Regular
Cardo-Regular,JosefinSans-Regular
CreteRound-Regular,ABeeZee-Regular
Kreon-Regular,Ubuntu-Title
OldStandard-Regular,Questrial-Regular
Ovo-Regular,Muli-Regular
Rufina-Regular,Sintony-Regular
Vollkorn-Regular,Exo-Medium
DidactGothic-Regular,Arimo-Regular
DroidSerif,Cabin-Medium
WalterTurncoat-Regular,Kreon-Regular
AmaticSC-Regular,Andika-Regular
Bevan-Regular,PontanoSans-Regular
Pacifico,Arimo-Regular
YesevaOne-Regular,JosefinSans-Regular
NixieOne-Regular,Ledger-Regular
Sacramento-Regular,Alice-Regular
Eczar-Regular,GentiumBasic-Regular
Ultra-Regular,Slabo27px-Regular
kaufmann-bt,Neutra-Text-Book
Alternate-Gothic-No1-D-Regular,Georgia
Enigma-Systematic-TT-BRK,Bliss
